part_id,Bathroom,Bedroom,Diningroom,Hall,Kitchen,Livingroom,Office,Outdoor
3068,0.0,18.2,12.2,0.0,35.2,11.2,19.9,3.0
3070,3.6,0.0,32.5,0.0,29.2,10.0,0.5,23.9
3072,0.6,6.7,0.0,0.0,17.1,41.6,20.7,12.9
3073,0.0,31.1,0.0,0.0,24.2,44.5,0.0,0.0
3077,2.1,0.3,0.0,0.0,25.1,42.4,0.7,29.2
3079,0.0,0.0,4.6,0.0,2.4,43.8,0.0,48.9
3081,0.6,19.0,29.3,0.0,22.8,6.9,14.6,6.4
3082,0.0,8.1,0.0,0.0,12.0,43.1,23.4,13.2
3083,2.5,9.1,0.0,0.0,0.0,58.6,0.0,29.5
3084,0.0,31.4,18.3,0.0,27.2,15.7,0.0,7.1
3085,0.0,0.0,0.0,0.0,35.7,64.1,0.0,0.0
3086,0.0,3.7,17.0,0.0,30.8,30.3,0.1,17.9
3087,0.0,12.3,12.2,0.0,10.2,56.7,7.5,0.8
3089,0.0,10.1,15.1,0.0,40.2,23.6,9.1,1.6
3090,0.0,22.1,0.0,0.0,42.2,28.1,0.0,7.4
3091,0.0,3.2,13.2,0.0,21.4,41.5,0.0,20.5
3095,0.0,1.8,30.1,0.0,19.1,10.7,36.8,1.1
3096,0.0,13.4,26.2,0.0,24.3,8.8,25.7,1.4
3097,11.6,10.2,53.7,0.0,11.1,10.8,0.0,2.3
3098,0.9,14.6,26.6,0.0,16.2,21.0,12.4,8.1
3099,0.0,0.3,26.0,0.0,44.6,28.0,0.0,0.9
3102,0.0,19.6,4.6,0.0,4.2,43.6,17.6,10.0
3103,4.2,27.8,0.0,0.0,33.7,30.6,0.0,3.4
3104,0.0,24.1,20.0,0.0,19.3,22.3,0.0,14.1
3105,0.0,22.5,12.9,0.0,15.5,45.2,0.0,3.5
3106,6.0,0.0,0.0,5.4,22.9,36.6,4.4,24.3
3107,0.2,21.9,0.0,0.0,33.3,40.2,0.7,3.4
3108,0.0,2.0,0.0,10.9,41.0,21.8,0.0,23.9
3109,0.4,10.2,0.0,0.0,2.4,59.8,9.9,17.0
3110,0.0,0.0,0.0,0.0,1.3,97.8,0.0,0.7
3112,21.6,41.6,0.0,0.0,0.0,11.4,0.0,25.2
3113,5.9,7.4,23.1,10.7,4.0,13.2,0.0,35.3
3114,0.0,9.0,40.0,0.0,21.2,19.7,0.0,9.8
3115,25.8,5.1,0.0,0.0,27.0,18.6,0.0,23.3
3116,6.1,1.2,0.0,0.0,15.5,68.6,0.0,8.3
3117,1.3,7.7,6.8,0.0,39.6,33.4,0.0,10.8
3118,2.6,1.3,16.3,0.0,10.7,47.7,0.2,20.9
3119,1.0,26.1,6.6,0.0,6.0,39.5,0.0,20.5
3120,0.0,31.6,0.0,1.4,1.1,28.8,13.0,23.7
3127,0.0,0.0,11.3,0.0,25.7,44.7,0.0,18.1
3129,1.1,1.3,26.5,0.0,27.7,39.9,0.0,3.3
3131,18.7,0.0,3.6,12.5,22.3,13.4,0.0,29.2
3132,0.0,0.0,44.5,0.0,14.6,4.2,0.1,36.4
3133,2.6,1.3,0.0,0.0,29.9,32.5,0.0,33.4
3134,1.2,8.3,13.8,0.0,20.3,36.7,0.0,19.4
3135,4.1,0.0,31.7,0.0,20.0,31.9,4.2,7.9
3139,10.6,21.3,10.9,0.0,41.6,0.1,0.0,15.3
3140,0.9,0.5,34.8,0.0,39.8,7.3,0.0,16.3
3141,6.3,3.6,25.4,0.0,42.4,13.9,0.0,8.1
3142,11.0,3.5,20.6,0.0,13.1,31.5,0.0,20.1
3515,0.0,0.0,0.0,0.0,23.1,4.0,41.4,31.3
3517,0.0,0.7,44.7,0.0,46.4,0.0,0.0,8.0
3524,1.1,6.0,47.8,0.0,15.8,3.3,0.0,25.8
3527,0.0,0.0,38.7,0.0,2.7,11.2,14.9,32.3
3545,0.0,2.0,0.0,0.0,38.0,38.8,6.6,14.2
3546,0.0,14.8,0.0,0.0,9.1,51.6,6.1,18.1
3549,5.9,1.0,0.0,0.0,21.8,24.8,1.3,45.0
3559,0.0,0.0,0.0,0.0,18.2,66.8,9.3,5.5
3571,0.4,0.0,19.4,0.0,21.6,25.9,12.5,19.9
3578,0.0,0.0,0.0,0.0,0.0,25.8,0.0,74.1
3592,23.7,0.0,24.9,0.0,51.3,0.0,0.0,0.0
3593,0.6,0.0,0.0,0.0,36.3,40.9,22.0,0.0
3594,0.0,5.6,30.9,0.0,16.6,32.9,11.2,2.4
3600,6.2,8.5,0.0,0.0,53.2,28.8,0.0,3.1
3601,0.0,0.5,19.7,0.0,15.5,36.8,5.1,22.2
3611,8.3,11.7,10.7,4.0,18.6,26.5,0.0,19.8
